Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleNCCalcSize",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleNCHitTest",38,0,0.63,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleWindowPosChanged",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._ModifyStyle",4,0,0.07,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._OnChromeWorkerChanged",4,0,0.07,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._RestoreStandardChromeState",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._SetRoundingRegion",262,0,4.35,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._SetWindow",4,0,0.07,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._UnsetWindow",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._UpdateFrameState",266,0,4.42,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._UpdateSystemMenu",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._WindowSourceInitialized",278,0,4.62,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker.get__MinimizeAnimation",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker.SetWindowChromeWorker",4,0,0.07,0.00,
"dynamicClass.Go4",2,0,0.03,0.00,
"dynamicClass.IL_STUB_PInvoke",4,0,0.07,0.00,
"dynamicClass.IL_STUB_PInvoke",1,0,0.02,0.00,
"dynamicClass.IL_STUB_PInvoke",1,0,0.02,0.00,
"dynamicClass.IL_STUB_PInvoke",4,0,0.07,0.00,
"dynamicClass.IL_STUB_PInvoke",257,0,4.27,0.00,
"dynamicClass.lambda_method",5,0,0.08,0.00,
"dynamicClass.lambda_method",4,0,0.07,0.00,
"dynamicClass.lambda_method",17,0,0.28,0.00,
"dynamicClass.lambda_method",4,0,0.07,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",6,0,0.10,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",117,0,1.94,0.00,
"dynamicClass.lambda_method",915,0,15.20,0.00,
"dynamicClass.lambda_method",2,0,0.03,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",2,0,0.03,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",4,0,0.07,0.00,
"dynamicClass.lambda_method",6,0,0.10,0.00,
"LiquorShop.Classes.PurchaseVm..ctor",1,0,0.02,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel.<LoadedCommand_Execute>b__128_0",43,0,0.71,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel.InitAsync",43,0,0.71,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel.LoadedCommand_Execute",7,0,0.12,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel+<InitAsync>d__130.MoveNext",96,0,1.59,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel+<LoadedCommand_Execute>d__128.MoveNext",2,0,0.03,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel.<LoadedCommand_Execute>b__27_0",5,0,0.08,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel.Init",5,0,0.08,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel.LoadedCommand_Execute",4,0,0.07,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel+<LoadedCommand_Execute>d__27.MoveNext",1,0,0.02,0.00,
"LiquorShop.Views.Finance.FinanceWindow..ctor",147,0,2.44,0.00,
"LiquorShop.Views.Finance.FinanceWindow.InitializeComponent",140,0,2.33,0.00,
"LiquorShop.Views.Purchases.PurchaseEntryView..ctor",82,0,1.36,0.00,
"LiquorShop.Views.Purchases.PurchaseEntryView.InitializeComponent",82,0,1.36,0.00,
"LiquorShop.Views.Purchases.PurchaseEntryView.quantitytxt_TextChanged",1,0,0.02,0.00,
"LiquorShop.Views.Purchases.PurchasesWindow..ctor",24,0,0.40,0.00,
"LiquorShop.Views.Purchases.PurchasesWindow.InitializeComponent",19,0,0.32,0.00,
"LiquorShopService.Implementations.AccountingService.CreateFakeUserAsync",33,0,0.55,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllAccountClassesAsync",15,0,0.25,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerAccountsAsync",3,0,0.05,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerGeneralsAsync",17,0,0.28,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerTransactionDetails",34,0,0.56,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerTransactionsAsync",26,0,0.43,0.00,
"LiquorShopService.Implementations.AccountingService+<CreateFakeUserAsync>d__44.MoveNext",33,0,0.55,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllAccountClassesAsync>d__28.MoveNext",18,0,0.30,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllLedgerAccountsAsync>d__31.MoveNext",36,0,0.60,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllLedgerGeneralsAsync>d__34.MoveNext",64,0,1.06,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllLedgerTransactionsAsync>d__37.MoveNext",43,0,0.71,0.00,
"LiquorShopService.Implementations.AdministrationService.FindUserByUserNameAndPassword",785,0,13.04,0.00,
"LiquorShopService.Implementations.AdministrationService+<FindUserByUserNameAndPassword>d__0.MoveNext",779,0,12.94,0.00,
"LiquorShopService.Implementations.PurchaseService.GetAllBanksAsync",41,0,0.68,0.00,
"LiquorShopService.Implementations.PurchaseService.GetAllBeveragesAsync",38,0,0.63,0.00,
"LiquorShopService.Implementations.PurchaseService.GetAllSuppliersAsync",14,0,0.23,0.00,
"LiquorShopService.Implementations.PurchaseService+<GetAllBanksAsync>d__27.MoveNext",39,0,0.65,0.00,
"LiquorShopService.Implementations.PurchaseService+<GetAllBeveragesAsync>d__8.MoveNext",50,0,0.83,0.00,
"LiquorShopService.Implementations.PurchaseService+<GetAllSuppliersAsync>d__11.MoveNext",55,0,0.91,0.00,
"MahApps.Metro.Behaviours.BorderlessWindowBehavior.AssociatedObject_Loaded",2,0,0.03,0.00,
"MahApps.Metro.Behaviours.BorderlessWindowBehavior.OnAttached",6,0,0.10,0.00,
"MahApps.Metro.Behaviours.GlowWindowBehavior.AssociatedObjectWindowProc",1,0,0.02,0.00,
"MahApps.Metro.Behaviours.StylizedBehaviors.OnPropertyChanged",6,0,0.10,0.00,
"MahApps.Metro.Behaviours.WindowsSettingBehaviour.AssociatedObject_Closed",1,0,0.02,0.00,
"MahApps.Metro.Behaviours.WindowsSettingBehaviour.AssociatedObject_Closing",1,0,0.02,0.00,
"MahApps.Metro.Behaviours.WindowsSettingBehaviour.AssociatedObject_SourceInitialized",3,0,0.05,0.00,
"MahApps.Metro.Behaviours.WindowsSettingBehaviour.LoadWindowState",2,0,0.03,0.00,
"MahApps.Metro.Controls.Dialogs.DialogManager.GetCurrentDialogAsync",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroContentControl..ctor",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroContentControl.AfterLoadedStoryboardCompleted",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroContentControl.MetroContentControlLoaded",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroWindow..ctor",6,0,0.10,0.00,
"MahApps.Metro.Controls.MetroWindow.FlyoutsPreviewMouseDown",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroWindow.GetWindowPlacementSettings",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroWindow.InitializeStylizedBehaviors",6,0,0.10,0.00,
"MahApps.Metro.Controls.MetroWindow.MetroWindow_Loaded",5,0,0.08,0.00,
"MahApps.Metro.Controls.MetroWindow.OnApplyTemplate",21,0,0.35,0.00,
"MahApps.Metro.Controls.MetroWindow.OnClosing",5,0,0.08,0.00,
"MahApps.Metro.Controls.MetroWindow.SetVisibiltyForAllTitleElements",5,0,0.08,0.00,
"MahApps.Metro.Controls.MetroWindow.SetVisibiltyForIcon",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroWindow.SetWindowEvents",2,0,0.03,0.00,
"MahApps.Metro.Controls.MetroWindow.UpdateLogicalChilds",11,0,0.18,0.00,
"MahApps.Metro.Controls.MetroWindow+<OnClosing>d__271.MoveNext",3,0,0.05,0.00,
"MahApps.Metro.Controls.MetroWindowHelpers.ChangeAllWindowCommandsBrush",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroWindowHelpers.SetIsHitTestVisibleInChromeProperty",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroWindowHelpers.SetWindowChromeResizeGripDirection",1,0,0.02,0.00,
"MahApps.Metro.Controls.MetroWindowHelpers+<>c.<ChangeAllWindowCommandsBrush>b__6_2",1,0,0.02,0.00,
"MahApps.Metro.Controls.MultiFrameImage.OnSourceChanged",7,0,0.12,0.00,
"MahApps.Metro.Controls.MultiFrameImage.UpdateFrameList",4,0,0.07,0.00,
"MahApps.Metro.Controls.MultiFrameImage+<>c.<UpdateFrameList>b__7_2",1,0,0.02,0.00,
"MahApps.Metro.Controls.TextBoxHelper.OnIsMonitoringChanged",1,0,0.02,0.00,
"MahApps.Metro.Controls.TextBoxHelper+<>c..cctor",1,0,0.02,0.00,
"MahApps.Metro.Controls.TextBoxHelper+<>c__DisplayClass54_0.<OnIsMonitoringChanged>b__0",1,0,0.02,0.00,
"MahApps.Metro.Controls.WindowButtonCommands.<.ctor>b__54_0",3,0,0.05,0.00,
"MahApps.Metro.Controls.WindowButtonCommands.ApplyTheme",1,0,0.02,0.00,
"MahApps.Metro.Controls.WindowButtonCommands.CloseClick",23,0,0.38,0.00,
"MahApps.Metro.Controls.WindowButtonCommands.GetCaption",2,0,0.03,0.00,
"MahApps.Metro.Controls.WindowButtonCommands.OnApplyTemplate",1,0,0.02,0.00,
"MahApps.Metro.Controls.WindowButtonCommands.OnThemeChanged",4,0,0.07,0.00,
"MahApps.Metro.Controls.WindowCommands.OnItemsChanged",3,0,0.05,0.00,
"MahApps.Metro.Controls.WindowCommands.PrepareContainerForItemOverride",1,0,0.02,0.00,
"MahApps.Metro.Controls.WindowCommands.ResetSeparators",1,0,0.02,0.00,
"MahApps.Metro.Converters.BackgroundToForegroundConverter.Convert",1,0,0.02,0.00,
"MahApps.Metro.IconPacks.PackIconControl`1[MahApps.Metro.IconPacks.PackIconModernKind].OnApplyTemplate",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.ComboBoxPopup+<>c__DisplayClass41_0.<.ctor>b__1",5,0,0.08,0.00,
"MaterialDesignThemes.Wpf.Converters.HintProxyFabricConverter.Convert",7,0,0.12,0.00,
"MaterialDesignThemes.Wpf.Converters.RangeLengthConverter.Convert",2,0,0.03,0.00,
"MaterialDesignThemes.Wpf.Converters.ShadowConverter.Convert",15,0,0.25,0.00,
"MaterialDesignThemes.Wpf.Converters.ShadowInfo..cctor",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.Converters.ShadowInfo.GetDropShadow",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.HintProxyFabric+<>c.<.cctor>b__5_1",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.HintProxyFabric+<>c.<.cctor>b__5_3",2,0,0.03,0.00,
"MaterialDesignThemes.Wpf.HintProxyFabric+ComboBoxHintProxy.ComboBoxLoaded",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.HintProxyFabric+HintProxyBuilder.Build",2,0,0.03,0.00,
"MaterialDesignThemes.Wpf.HintProxyFabric+TextBoxHintProxy..ctor",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.HintProxyFabric+TextBoxHintProxy.IsFocused",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.ListSortDirectionIndicator.OnApplyTemplate",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.SmartHint.HintProxyPropertyChangedCallback",5,0,0.08,0.00,
"MaterialDesignThemes.Wpf.SmartHint.OnHintProxyContentChanged",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.SmartHint.RefreshState",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.SmartHint+<>c__DisplayClass46_0.<RefreshState>b__0",2,0,0.03,0.00,
"MaterialDesignThemes.Wpf.TextFieldAssist.TextBoxViewMarginPropertyChangedCallback",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.TextFieldAssist+<>c.<TextBoxViewMarginPropertyChangedCallback>b__21_0",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.Underline.IsActivePropertyChangedCallback",1,0,0.02,0.00,
"MaterialDesignThemes.Wpf.Underline.OnApplyTemplate",2,0,0.03,0.00,
"MS.Internal.SystemDataExtension.IsDataSetCollectionProperty",2,0,0.03,0.00,
"Rms.Data.ModelBase.SetProperty",14,0,0.23,0.00,
"Rms.Data.ModelBase.ValidateProperty",13,0,0.22,0.00,
"Rms.RelayCommand.CanExecute",1,0,0.02,0.00,
"Rms.RelayCommand.Execute","1,351",0,22.44,0.00,
"Rms.UserControls.Accounts.BalanceSheetControl..ctor",21,0,0.35,0.00,
"Rms.UserControls.Accounts.BalanceSheetControl.InitializeComponent",21,0,0.35,0.00,
"Rms.UserControls.Accounts.ChartOfAccounts..ctor",27,0,0.45,0.00,
"Rms.UserControls.Accounts.ChartOfAccounts.InitializeComponent",27,0,0.45,0.00,
"Rms.UserControls.Accounts.IncomeStatementControl..ctor",9,0,0.15,0.00,
"Rms.UserControls.Accounts.IncomeStatementControl.InitializeComponent",9,0,0.15,0.00,
"Rms.UserControls.Accounts.JournalEntryControl..ctor",18,0,0.30,0.00,
"Rms.UserControls.Accounts.JournalEntryControl.InitializeComponent",17,0,0.28,0.00,
"Rms.UserControls.Accounts.JournalEntryListControl..ctor",6,0,0.10,0.00,
"Rms.UserControls.Accounts.JournalEntryListControl.InitializeComponent",6,0,0.10,0.00,
"Rms.UserControls.Accounts.LedgerControl..ctor",8,0,0.13,0.00,
"Rms.UserControls.Accounts.LedgerControl.InitializeComponent",8,0,0.13,0.00,
"Rms.UserControls.Accounts.TrialBalanceControl..ctor",7,0,0.12,0.00,
"Rms.UserControls.Accounts.TrialBalanceControl.InitializeComponent",7,0,0.12,0.00,
"Rms.ViewModelBase.notify",4,0,0.07,0.00,
"Rms.ViewModelBase.SetProperty",6,0,0.10,0.00,
"Rms.ViewModelBase.SetProperty",8,0,0.13,0.00,
"Rms.ViewModelBase.ValidateProperty",2,0,0.03,0.00,
"Rms.ViewModelBase.ValidateProperty",6,0,0.10,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.<Init>b__100_0",31,0,0.51,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.<LoadedCommand_Execute>b__150_0",19,0,0.32,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.getJournalsBydate",11,0,0.18,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.Init",19,0,0.32,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.Init2",31,0,0.51,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.InitJournalEntryListViewModel",1,0,0.02,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.LoadedCommand_Execute",14,0,0.23,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel.set_JournalDate",1,0,0.02,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel+<Init>d__100.MoveNext",55,0,0.91,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel+<Init2>d__101.MoveNext",95,0,1.58,0.00,
"Rms.ViewModels.Accounts.FinanceViewModel+<LoadedCommand_Execute>d__150.MoveNext",12,0,0.20,0.00,
"Rms.ViewModels.RmsDashBoardViewModel..ctor",796,0,13.22,0.00,
"Rms.ViewModels.RmsDashBoardViewModel.hacklogin",789,0,13.11,0.00,
"Rms.ViewModels.RmsDashBoardViewModel.TileCLickCommand_Execute","1,178",0,19.57,0.00,
